Title,Severity,OWASP Category,Affected URL,Status Code,Evidence,Description,Recommendation
Website Does Not Use HTTPS,High,A02: Cryptographic Failures,http://127.0.0.1:8006,,The target website is using HTTP instead of HTTPS.,The target website is using HTTP instead of HTTPS.,Use HTTPS with a valid TLS/SSL certificate.
Missing Security Header: Strict-Transport-Security,Medium,A05: Security Misconfiguration,http://127.0.0.1:8006,,HSTS header is missing. This helps enforce HTTPS connections.,HSTS header is missing. This helps enforce HTTPS connections.,Add Strict-Transport-Security header.
Missing Security Header: Content-Security-Policy,High,A03: Injection,http://127.0.0.1:8006,,Content Security Policy is missing. This may increase XSS risk.,Content Security Policy is missing. This may increase XSS risk.,Add a strong Content-Security-Policy header.
Missing Security Header: X-Frame-Options,Medium,A05: Security Misconfiguration,http://127.0.0.1:8006,,X-Frame-Options header is missing. The site may be vulnerable to clickjacking.,X-Frame-Options header is missing. The site may be vulnerable to clickjacking.,Add X-Frame-Options: DENY or SAMEORIGIN.
Missing Security Header: X-Content-Type-Options,Low,A05: Security Misconfiguration,http://127.0.0.1:8006,,X-Content-Type-Options header is missing.,X-Content-Type-Options header is missing.,Add X-Content-Type-Options: nosniff.
Missing Security Header: Referrer-Policy,Low,A05: Security Misconfiguration,http://127.0.0.1:8006,,Referrer-Policy header is missing.,Referrer-Policy header is missing.,Add Referrer-Policy: no-referrer or strict-origin-when-cross-origin.
Missing Security Header: Permissions-Policy,Low,A05: Security Misconfiguration,http://127.0.0.1:8006,,Permissions-Policy header is missing.,Permissions-Policy header is missing.,Add Permissions-Policy to limit browser feature access.
Information Disclosure in Header: Server,Low,A05: Security Misconfiguration,http://127.0.0.1:8006/,200,Server: CyberScanWeb/1.0 Python/3.13.2,The response exposes server technology information: Server: CyberScanWeb/1.0 Python/3.13.2,Remove or minimize technology/version information from HTTP response headers.
Form Uses GET Method: Form #1,Medium,A02: Cryptographic Failures,http://127.0.0.1:8006/,200,method=get action=http://127.0.0.1:8006/,A form uses the GET method. Sensitive data may appear in URLs.,Use POST for forms that send sensitive information.
Password Form Without HTTPS: Form #1,High,A07: Identification and Authentication Failures,http://127.0.0.1:8006/,200,1 password field(s) found,A password field was found on a non-HTTPS page.,Always use HTTPS for login and password forms.
Sensitive Input Allows Browser Autocomplete: Form #1,Low,A07: Identification and Authentication Failures,http://127.0.0.1:8006/,200,input=password autocomplete=not set,The input 'password' may allow browser autocomplete for sensitive data.,Disable autocomplete for sensitive inputs or use context-appropriate autocomplete values.
Possible Error Message Disclosure,Medium,A05: Security Misconfiguration,http://127.0.0.1:8006/,200,stack trace,The page contains possible technical error text: stack trace,Disable detailed error messages in production.
