Title,Severity,OWASP Category,CWE,Confidence,Affected URL,Status Code,Lifecycle Status,Validation Status,Evidence,Description,Recommendation
SSL Certificate Check Failed,Medium,A02: Cryptographic Failures,CWE-295,Medium,https://api.example.com,,New,Needs Manual Validation,The scanner could not verify the SSL certificate. Error: [Errno 11001] getaddrinfo failed,The scanner could not verify the SSL certificate. Error: [Errno 11001] getaddrinfo failed,Make sure the website has a valid SSL/TLS certificate.
SSL Certificate Check Failed,Medium,A02: Cryptographic Failures,CWE-295,Medium,https://admin.example.com,,New,Needs Manual Validation,The scanner could not verify the SSL certificate. Error: [Errno 11001] getaddrinfo failed,The scanner could not verify the SSL certificate. Error: [Errno 11001] getaddrinfo failed,Make sure the website has a valid SSL/TLS certificate.
Target Unreachable,High,Security Misconfiguration,CWE-N/A,Medium,https://admin.example.com,,New,Needs Manual Validation,The scanner could not reach the target URL: https://admin.example.com,The scanner could not reach the target URL: https://admin.example.com,Check if the target URL is correct and accessible.
Missing Security Header: Strict-Transport-Security,Medium,A05: Security Misconfiguration,CWE-319,High,https://www.example.com,,New,Observed,HSTS header is missing. This helps enforce HTTPS connections.,HSTS header is missing. This helps enforce HTTPS connections.,Add Strict-Transport-Security header.
Missing Security Header: Content-Security-Policy,High,A03: Injection,CWE-79,High,https://www.example.com,,New,Observed,Content Security Policy is missing. This may increase XSS risk.,Content Security Policy is missing. This may increase XSS risk.,Add a strong Content-Security-Policy header.
Missing Security Header: X-Frame-Options,Medium,A05: Security Misconfiguration,CWE-1021,High,https://www.example.com,,New,Observed,X-Frame-Options header is missing. The site may be vulnerable to clickjacking.,X-Frame-Options header is missing. The site may be vulnerable to clickjacking.,Add X-Frame-Options: DENY or SAMEORIGIN.
Missing Security Header: X-Content-Type-Options,Low,A05: Security Misconfiguration,CWE-693,High,https://www.example.com,,New,Observed,X-Content-Type-Options header is missing.,X-Content-Type-Options header is missing.,Add X-Content-Type-Options: nosniff.
Missing Security Header: Referrer-Policy,Low,A05: Security Misconfiguration,CWE-693,High,https://www.example.com,,New,Observed,Referrer-Policy header is missing.,Referrer-Policy header is missing.,Add Referrer-Policy: no-referrer or strict-origin-when-cross-origin.
Missing Security Header: Permissions-Policy,Low,A05: Security Misconfiguration,CWE-693,High,https://www.example.com,,New,Observed,Permissions-Policy header is missing.,Permissions-Policy header is missing.,Add Permissions-Policy to limit browser feature access.
Information Disclosure in Header: Server,Low,A05: Security Misconfiguration,CWE-200,High,https://www.example.com/,200,New,Observed,Server: cloudflare,The response exposes server technology information: Server: cloudflare,Remove or minimize technology/version information from HTTP response headers.
